subject,port,B_freeze_pct,delta_point_median,delta_CI_low,delta_CI_high,label,n_seeds,n_shuffles
100206,T2,0.0,-0.6910277574134581,-1.6374984475408243,-0.20981970977267025,enhancement_or_orig_better,12,8
100206,T2,5.0,-0.7523426281057619,-1.7924340671221017,-0.24201568324812867,enhancement_or_orig_better,12,8
100206,T2,10.0,-1.0302142308223208,-1.6358484892273515,-0.39906681744880323,enhancement_or_orig_better,12,8
100206,T2,20.0,-0.5061896705805575,-1.1726482529173425,-0.12442202287732178,enhancement_or_orig_better,12,8
100206,T3,0.0,-0.6414524875336118,-2.0233249052376845,0.9341348342187885,structure-driven_or_ambiguous,12,8
100206,T3,5.0,-0.5529044001985615,-2.7336012839717188,1.177602555354638,structure-driven_or_ambiguous,12,8
100206,T3,10.0,0.10625128157470876,-2.0755083758991315,1.9646860735924205,structure-driven_or_ambiguous,12,8
100206,T3,20.0,0.8592813648533162,-0.02695792395380827,2.165358364942506,structure-driven_or_ambiguous,12,8
304727,T2,0.0,-0.6789905069128741,-1.0427116664808243,-0.2785421786895306,enhancement_or_orig_better,12,8
304727,T2,5.0,-0.8634603761020248,-1.382171529516997,-0.3838164102108099,enhancement_or_orig_better,12,8
304727,T2,10.0,-1.2183932705279548,-1.7600014675442268,-0.6676740066147858,enhancement_or_orig_better,12,8
304727,T2,20.0,-0.7563843482993764,-1.5026212908836147,-0.3773788587085931,enhancement_or_orig_better,12,8
304727,T3,0.0,-1.2089123346139248,-2.6848774047459156,-0.09262168106834422,enhancement_or_orig_better,12,8
304727,T3,5.0,-1.1076223567957282,-3.458908731553377,-0.0227695520409803,enhancement_or_orig_better,12,8
304727,T3,10.0,-0.19332873530491712,-2.774205848943102,1.1175841054281364,structure-driven_or_ambiguous,12,8
304727,T3,20.0,-0.09139204659341749,-3.0034525676631114,0.6735665383337661,structure-driven_or_ambiguous,12,8
314225,T2,0.0,-0.15310519082001403,-0.6242550387004938,0.22224336482523133,structure-driven_or_ambiguous,12,8
314225,T2,5.0,-0.24502066601180447,-0.7801895216209891,0.2546097481958369,structure-driven_or_ambiguous,12,8
314225,T2,10.0,-0.19015948390095178,-0.7391686463959617,0.17767174875747388,structure-driven_or_ambiguous,12,8
314225,T2,20.0,-0.16143968392503344,-0.9280760358823927,0.1652754343028437,structure-driven_or_ambiguous,12,8
314225,T3,0.0,0.326973059439696,-2.3448468366719646,1.5471928268248174,structure-driven_or_ambiguous,12,8
314225,T3,5.0,-0.5549217839035281,-2.372695651059534,0.9187969665898145,structure-driven_or_ambiguous,12,8
314225,T3,10.0,-1.2750658587382784,-3.22236451074519,0.8502949526979418,structure-driven_or_ambiguous,12,8
314225,T3,20.0,-0.7743362898979576,-2.243334407056291,1.2580456279505507,structure-driven_or_ambiguous,12,8
333330,T2,0.0,-0.5665635635382589,-0.8648738775314498,-0.11965137214694171,enhancement_or_orig_better,12,8
333330,T2,5.0,-0.26022643719908944,-0.6019387526515213,0.4157377734742478,structure-driven_or_ambiguous,12,8
333330,T2,10.0,-0.4078959553218848,-0.6418746750481382,0.22375451890160947,structure-driven_or_ambiguous,12,8
333330,T2,20.0,-0.47439138539618364,-0.7645768017809598,-0.18182704016445003,enhancement_or_orig_better,12,8
333330,T3,0.0,0.3670117821720631,-0.5226899558368724,1.2981871959436402,structure-driven_or_ambiguous,12,8
333330,T3,5.0,0.2163264589409622,-1.3747211932409507,0.8562783466238438,structure-driven_or_ambiguous,12,8
333330,T3,10.0,-0.32898401652483417,-1.7842496196232993,0.7801378739993212,structure-driven_or_ambiguous,12,8
333330,T3,20.0,0.504177940632565,-0.4217058695868779,1.7604192681850444,structure-driven_or_ambiguous,12,8
519647,T2,0.0,-1.0487302693618177,-1.8425538975785871,-0.3715307843568256,enhancement_or_orig_better,12,8
519647,T2,5.0,-0.405597201056645,-0.8224053383306442,-0.13286127088394784,enhancement_or_orig_better,12,8
519647,T2,10.0,-0.37552758024054034,-0.6339311890733407,-0.00955718709766673,enhancement_or_orig_better,12,8
519647,T2,20.0,-0.3941149584788118,-1.1138813319715293,-0.09514385395166614,enhancement_or_orig_better,12,8
519647,T3,0.0,0.4013241861925918,-1.1560006835940129,2.2273076583333804,structure-driven_or_ambiguous,12,8
519647,T3,5.0,-0.035388926988015906,-2.333927262790541,0.984743056741721,structure-driven_or_ambiguous,12,8
519647,T3,10.0,-0.05516257501918885,-2.386733467413794,0.5625188942265602,structure-driven_or_ambiguous,12,8
519647,T3,20.0,-0.744275246409832,-2.611634097995978,0.16242893151308163,structure-driven_or_ambiguous,12,8
