B,metric,rho,p,n
0.0,M1,0.35741088180112573,0.023564794302526046,40
0.0,M2,-0.10900562851782367,0.5031444524750441,40
0.0,M3,0.16631472486727655,0.30504365270711203,40
0.0,M4,-0.32682926829268294,0.039550470760936214,40
0.0,M5,-0.0036170200315357747,0.9823277513758963,40
0.0,M6,-0.17354596622889307,0.28419250302413057,40
0.0,M7,0.2660034211952777,0.09710616618937332,40
0.0,M8,-0.15703564727954974,0.33318995626703396,40
5.0,M1,0.19287054409005633,0.23311425669225544,40
5.0,M2,0.5626641651031896,0.00015735350052939942,40
5.0,M3,0.42293307799595015,0.00654908770782375,40
5.0,M4,-0.21257035647279554,0.1878752367669312,40
5.0,M5,0.40309222243394677,0.009909021712078301,40
5.0,M6,0.08911819887429645,0.5844816166436049,40
5.0,M7,-0.20150411538295934,0.21245292200645788,40
5.0,M8,0.30581613508442784,0.05497445857166468,40
10.0,M1,0.10225140712945593,0.5301107241717837,40
10.0,M2,0.6429643527204504,7.676684692572529e-06,40
10.0,M3,0.3273752492614718,0.03920252189857273,40
10.0,M4,-0.575984990619137,0.00010064475258734239,40
10.0,M5,0.48792259367653174,0.0014042706578440982,40
10.0,M6,-0.025328330206378986,0.8767144613738743,40
10.0,M7,-0.1793638047527857,0.2681058064820092,40
10.0,M8,0.17973733583489682,0.2670939180520604,40
20.0,M1,0.22316215277182172,0.16630529198460425,40
20.0,M2,0.4530956848030019,0.0033250870959242824,40
20.0,M3,0.06082794892457043,0.7092554901599117,40
20.0,M4,-0.17166979362101317,0.2895111759202126,40
20.0,M5,0.23756368160369237,0.13992627470695204,40
20.0,M6,-0.16472795497185744,0.3097461356945881,40
20.0,M7,0.2916159148303455,0.06788522798319209,40
20.0,M8,0.24315196998123828,0.13057035941218326,40
