subject,port,n_nodes,n_edges,spearman_rho,spearman_p,frac_top5w_in_top10bet,mean_betweenness_top5w,mean_betweenness_all
100206,T2,20,152,-0.3252155355280889,4.348783856452314e-05,0.0,0.006108989694516009,0.006578947368421052
100206,T3,26,254,-0.5316784871223939,6.174480089459054e-20,0.0,0.003915829611407314,0.00479709267110842
304727,T2,20,157,-0.31534718341790774,5.749885421171963e-05,0.0,0.006004401300453932,0.0062018102581294
304727,T3,26,280,-0.47887056800722283,1.861978423144682e-17,0.07142857142857142,0.003709385447222687,0.004065934065934066
314225,T2,20,135,-0.13147080002122616,0.128522675664364,0.0,0.009144913148672548,0.009551656920077973
314225,T3,26,226,-0.38544523151989074,2.026604965170205e-09,0.25,0.005679894179894178,0.005772634445200817
333330,T2,20,158,-0.235184673512497,0.00293379591502813,0.125,0.006444330523277891,0.007395069953364425
333330,T3,26,237,-0.3933575057754742,3.4168061552051204e-10,0.16666666666666666,0.004852379289626253,0.005361895488477767
519647,T2,20,148,-0.11748909647211624,0.15498916393400552,0.375,0.008990103463787674,0.008250355618776671
519647,T3,26,227,-0.36020255354875996,2.3280794601631898e-08,0.0,0.004279106221413913,0.005733649610301593
