subject,port,trial_kind,shuffle_id,R_edge,R_peak,kappa_star,G_proxy,kappa_grid
100206,T2,orig,-1,150.749624400058,109.27182625271037,1.0,-41.47779814734763,T2_5pt
100206,T2,surr,0,150.62596535367692,107.16845050457718,1.0,-43.45751484909974,T2_5pt
100206,T2,surr,1,150.7329856979294,108.82644376706696,1.0,-41.90654193086243,T2_5pt
100206,T2,surr,2,150.59138911989712,106.5078075528144,1.0,-44.08358156708272,T2_5pt
100206,T3,orig,-1,514.23743956006,393.0677761324371,1.0,-121.16966342762294,T3_7pt
100206,T3,surr,0,514.4145357857471,397.5141643846132,1.0,-116.90037140113395,T3_7pt
100206,T3,surr,1,514.3814352292701,397.1407733666358,1.0,-117.24066186263428,T3_7pt
100206,T3,surr,2,514.4285799625495,398.13187760554797,1.0,-116.29670235700155,T3_7pt
333330,T2,orig,-1,150.85288571253298,112.19375959690355,1.0,-38.659126115629434,T2_5pt
333330,T2,surr,0,150.74453321050464,110.50850081007296,1.0,-40.23603240043168,T2_5pt
333330,T2,surr,1,150.75851145889519,109.99572115745002,1.0,-40.762790301445165,T2_5pt
333330,T2,surr,2,150.85297439842344,111.87947171196885,1.0,-38.973502686454594,T2_5pt
333330,T3,orig,-1,513.3694461575483,371.9533390165359,1.0,-141.4161071410124,T3_7pt
333330,T3,surr,0,513.4492645710674,375.0911435195683,1.0,-138.3581210514991,T3_7pt
333330,T3,surr,1,513.7184154440445,381.2466790595287,1.0,-132.4717363845158,T3_7pt
333330,T3,surr,2,513.5534405302058,377.16588370269585,1.0,-136.3875568275099,T3_7pt
